Transecto,T° Amb (°C),T° Agua (°C),Conduc (Us/cm),O2 disuel (ppm),pH,% E. Luz,% Humedad,Ancho m,Prof (cm),Vel (m/Seg),Caudal,Mes,Sitio
T1I,27,23.5,0.16,8.5,8.25,85,86,0.95,12.78,0.0088,0.1213089092,Septiembre,T1
T1M,26,23.5,0.16,7.5,8.32,65,85,1.15,6.86,0.0408,0.3475968423,Septiembre,T1
T1F,26,23.5,0.17,7.5,8.52,50,83,1.8,2.46,0.0704,0.3162857143,Septiembre,T1
T2I,25,23,0,8.8,7.9,95,95,2.15,17,0.0676,2.2492307692,Septiembre,T2
T2M,25,23,0.04,9,7.93,90,94,1.26,12.2,0.1499,2.2759284392,Septiembre,T2
T2F,24,23,0.09,9.1,7.95,75,93,2.03,16.6,0.1429,4.9314146341,Septiembre,T2
T3I,25,23,0.09,8,8.11,45,97,5.3,14.7,0.1795,14.4612529002,Septiembre,T3
T3M,25,23,0.09,8,8.1,10,96,4.1,23.6,0.1042,9.7573109244,Septiembre,T3
T3F,25,23,0.09,8,8.2,5,96,2.9,13.5,0.2342,9.7570093458,Septiembre,T3
T4I,26,23,0.11,8,8.11,15,96,1.72,8.46,0.1269,1.8497288136,Septiembre,T4
T4M,23,23,0.11,8,8.13,40,96,2.35,7.8,0.3717,6.9278740157,Septiembre,T4
T4F,25,23,0.11,8,8.12,5,97,2.13,8.9,0.1706,3.1119562244,Septiembre,T4
T5I,28,25.5,0.12,9.6,8.58,5,95,2,6.44,0.2786,3.6931899642,Septiembre,T5
T5M,29,25,0.11,9.6,8.64,40,93,2.58,25.9,0.2364,17.262949408,Septiembre,T5
T5F,28,25,0.09,9.9,8.55,80,92,1.88,53,0.0693,5.9769057736,Septiembre,T5
